"","y","m","grupo","valor","peso","my"
"87",2009,10,"Flores",77210683.9,395296585.09,Oct 2009
"88",2009,10,"Oro",144551068.14,5444.21,Oct 2009
"89",2009,11,"Carbon",371045974.29,5191765913.7,Nov 2009
"90",2009,11,"Ferroníquel",99760900.43,124882512,Nov 2009
"91",2009,11,"Flores",50674659.64,11653907.84,Nov 2009
"92",2009,11,"Oro",167136391.84,5887.96,Nov 2009
"93",2009,12,"Carbon",417266746.04,5737304770,Dec 2009
"94",2009,12,"Ferroníquel",116356592.87,142054975.77,Dec 2009
"95",2009,12,"Flores",74742962.72,15659670.29,Dec 2009
"96",2009,12,"Oro",204635456.13,6937.63,Dec 2009
"97",2010,1,"Carbon",476468026.3,6046793820,Jan 2010
"98",2010,1,"Ferroníquel",81690906.53,118154688,Jan 2010
"99",2010,1,"Flores",57867887.23,12924343.76,Jan 2010
"100",2010,1,"Oro",137432803.75,4697.74,Jan 2010
"101",2010,2,"Carbon",369113681.99,5189863308,Feb 2010
"102",2010,2,"Ferroníquel",113694555.26,146674201,Feb 2010
"103",2010,2,"Flores",84913342.2,19232508.56,Feb 2010
"104",2010,2,"Oro",134873137.18,4794.52,Feb 2010
"105",2010,3,"Carbon",416741535.52,5319795050,Mar 2010
"106",2010,3,"Ferroníquel",90768015.92,145433050.84,Mar 2010
"107",2010,3,"Flores",133174479.69,27950452.82,Mar 2010
"108",2010,3,"Oro",167158084.15,5776.11,Mar 2010
"109",2010,4,"Carbon",434706168.89,5552592359,Apr 2010
"110",2010,4,"Ferroníquel",169059195.86,204513115,Apr 2010
"111",2010,4,"Flores",70212396.34,13279789.69,Apr 2010
"112",2010,4,"Oro",157805468.94,5427.76,Apr 2010
"113",2010,5,"Carbon",616279355.55,8185169804,May 2010
"114",2010,5,"Ferroníquel",126542144.06,121441149,May 2010
"115",2010,5,"Flores",127850025.19,22518132.75,May 2010
"116",2010,5,"Oro",163022141.14,5355.47,May 2010
"117",2010,6,"Carbon",515152824.28,6662591351,Jun 2010
"118",2010,6,"Ferroníquel",133175679.16,138963350,Jun 2010
"119",2010,6,"Flores",70578176.38,13597939.31,Jun 2010
"120",2010,6,"Oro",162141049.88,5066.78,Jun 2010
"121",2010,7,"Carbon",394715889.3,5364348520,Jul 2010
"122",2010,7,"Ferroníquel",118539546,138124371,Jul 2010
"123",2010,7,"Flores",92038523.52,18243544.55,Jul 2010
"124",2010,7,"Oro",118403504.31,3674.17,Jul 2010
"125",2010,8,"Carbon",514710317.14,6531347501,Aug 2010
"126",2010,8,"Ferroníquel",119705131.78,182069342.05,Aug 2010
"127",2010,8,"Flores",98994631.1,20053998.02,Aug 2010
"128",2010,8,"Oro",136549711.71,4345.09,Aug 2010
"129",2010,9,"Carbon",378556434.77,5021553923,Sep 2010
"130",2010,9,"Ferroníquel",91390555.07,100104731.59,Sep 2010
"131",2010,9,"Flores",81184869.73,16534002.12,Sep 2010
"132",2010,9,"Oro",179267873.51,5636.25,Sep 2010
"133",2010,10,"Carbon",458706366.43,5830227243,Oct 2010
"134",2010,10,"Ferroníquel",156303145.71,230065962,Oct 2010
"135",2010,10,"Flores",73031780.29,14883711.2,Oct 2010
"136",2010,10,"Oro",179089121.4,5311.31,Oct 2010
"137",2010,11,"Carbon",442166830.88,5359105140,Nov 2010
"138",2010,11,"Ferroníquel",105099076.44,99554915.1,Nov 2010
"139",2010,11,"Flores",86611239.21,16190732.56,Nov 2010
"140",2010,11,"Oro",181514738.2,5103.29,Nov 2010
"141",2010,12,"Carbon",332812082.15,4144386530,Dec 2010
"142",2010,12,"Ferroníquel",155377771.99,212490369,Dec 2010
"143",2010,12,"Flores",132187700.66,24099816.81,Dec 2010
"144",2010,12,"Oro",279982192.96,7842.87,Dec 2010
"145",2011,1,"Carbon",648136494.75,7438269220,Jan 2011
"146",2011,1,"Ferroníquel",130254035.98,162298454,Jan 2011
"147",2011,1,"Flores",97746561.61,19204285.85,Jan 2011
"148",2011,1,"Oro",142069327.1,3912.71,Jan 2011
"149",2011,2,"Carbon",543827995.61,5968007099,Feb 2011
"150",2011,2,"Ferroníquel",110622949.56,97562822,Feb 2011
"151",2011,2,"Flores",112139813.69,21346831.45,Feb 2011
"152",2011,2,"Oro",172089661.68,4919.45,Feb 2011
"153",2011,3,"Carbon",449843610.2,4978871430,Mar 2011
"154",2011,3,"Ferroníquel",91595362.18,132314590,Mar 2011
"155",2011,3,"Flores",108842352.34,18256522.92,Mar 2011
"156",2011,3,"Oro",202291334.02,5456.29,Mar 2011
"157",2011,4,"Carbon",552995523.4,5645545920,Apr 2011
"158",2011,4,"Ferroníquel",120401638.76,175029469.47,Apr 2011
"159",2011,4,"Flores",97199210.51,16119587.29,Apr 2011
"160",2011,4,"Oro",193271436.13,5167.81,Apr 2011
"161",2011,5,"Carbon",785813260.48,8078531471,May 2011
"162",2011,5,"Ferroníquel",98794044.1,86884499.44,May 2011
"163",2011,5,"Flores",153905859.43,26149572.57,May 2011
"164",2011,5,"Oro",205007956.96,5280.26,May 2011
"165",2011,6,"Carbon",582253367.25,5690043750,Jun 2011
"166",2011,6,"Ferroníquel",105973407.03,124810977,Jun 2011
"167",2011,6,"Flores",121500161.47,20855256.78,Jun 2011
"168",2011,6,"Oro",196945820.33,5046.83,Jun 2011
"169",2011,7,"Carbon",706288320.23,6871054184,Jul 2011
"170",2011,7,"Ferroníquel",60760978.8,80197610.4,Jul 2011
"171",2011,7,"Flores",83946563.7,16208084.12,Jul 2011
"172",2011,7,"Oro",211104813.58,5260.46,Jul 2011
"173",2011,8,"Carbon",777335145.26,8111395920,Aug 2011
"174",2011,8,"Ferroníquel",146437036.25,198083402,Aug 2011
"175",2011,8,"Flores",82880747.45,16322800.15,Aug 2011
"176",2011,8,"Oro",252381507.5,5918.2,Aug 2011
"177",2011,9,"Carbon",721921940.07,6958765443.79,Sep 2011
"178",2011,9,"Ferroníquel",148515853.41,179414122,Sep 2011
"179",2011,9,"Flores",62735350.52,13498601.31,Sep 2011
"180",2011,9,"Oro",224814411.15,4739.7,Sep 2011
"181",2011,10,"Carbon",525968722.6,5429766690,Oct 2011
"182",2011,10,"Ferroníquel",121010397.05,85374617,Oct 2011
"183",2011,10,"Flores",63830000.61,12867789.62,Oct 2011
"184",2011,10,"Oro",241362656.15,5605.15,Oct 2011
"185",2011,11,"Carbon",562538432.16,5758389210,Nov 2011
"186",2011,11,"Ferroníquel",129764382.96,179786823,Nov 2011
"187",2011,11,"Flores",85418985.57,17021624,Nov 2011
"188",2011,11,"Oro",273125745.8,6062.85,Nov 2011
"189",2011,12,"Carbon",710060019.21,7269947603,Dec 2011
"190",2011,12,"Ferroníquel",102497101.31,122137608,Dec 2011
"191",2011,12,"Flores",57247159.68,11975205.48,Dec 2011
"192",2011,12,"Oro",277249449.58,6342.62,Dec 2011
"193",2012,1,"Bananas",56015901.6,145025309.02,Jan 2012
"194",2012,1,"Carbon",587505417.92,6013935690,Jan 2012
"195",2012,1,"Ferroníquel",98806516.1,108590195,Jan 2012
"196",2012,1,"Flores",115716220.79,19839502.91,Jan 2012
"197",2012,1,"Oro",184170282.03,4342.08,Jan 2012
"198",2012,2,"Bananas",42599919.31,100905062.25,Feb 2012
"199",2012,2,"Carbon",630525127.3,6269592320,Feb 2012
"200",2012,2,"Ferroníquel",132199525.52,131449394.65,Feb 2012
"201",2012,2,"Flores",92632000.5,16627057.13,Feb 2012
"202",2012,2,"Oro",279015045.06,6212.46,Feb 2012
"203",2012,3,"Bananas",44113744.77,104409172.93,Mar 2012
"204",2012,3,"Carbon",720626662.99,7216489523,Mar 2012
"205",2012,3,"Ferroníquel",178175663.81,254479095.52,Mar 2012
"206",2012,3,"Flores",143618209.52,20494622.15,Mar 2012
"207",2012,3,"Oro",257203984.99,5460.68,Mar 2012
"208",2012,4,"Bananas",48268941.99,111889668.69,Apr 2012
"209",2012,4,"Carbon",439835748.23,4461515120,Apr 2012
"210",2012,4,"Ferroníquel",107535125.15,167300830,Apr 2012
"211",2012,4,"Flores",78562036.97,13574869,Apr 2012
"212",2012,4,"Oro",239110474.91,5595.26,Apr 2012
"213",2012,5,"Bananas",94425833.51,219433049.29,May 2012
"214",2012,5,"Carbon",755162401.81,7874947290,May 2012
"215",2012,5,"Ferroníquel",111525951.82,120226769.38,May 2012
"216",2012,5,"Flores",121226996.02,21826591.74,May 2012
"217",2012,5,"Oro",251955926.94,6119.94,May 2012
